sector,wa_bin,wa_bin_id,bias,n_sb
Construction & Engineering,2.0,4,-2.2571428571428567,28
Construction & Engineering,2.5,5,-1.225,8
Construction & Engineering,3.0,6,-0.6320000000000001,25
Construction & Engineering,3.5,7,-0.6698113207547172,53
Construction & Engineering,4.0,8,-0.5357142857142856,28
Construction & Engineering,4.5,9,0.3939393939393938,33
Construction & Engineering,5.0,10,0.7672727272727273,55
Construction & Engineering,5.5,11,1.4149999999999998,40
Construction & Engineering,6.0,12,1.8519999999999999,25
Construction & Engineering,6.5,13,1.9857142857142855,14
Construction & Engineering,7.0,14,,3
Construction & Engineering,7.5,15,,2
Construction & Farm Machinery & Heavy Trucks,2.0,4,,1
Construction & Farm Machinery & Heavy Trucks,2.5,5,,1
Construction & Farm Machinery & Heavy Trucks,3.5,7,,3
Construction & Farm Machinery & Heavy Trucks,4.0,8,-1.4363636363636365,11
Construction & Farm Machinery & Heavy Trucks,4.5,9,-0.5999999999999999,32
Construction & Farm Machinery & Heavy Trucks,5.0,10,0.6909090909090907,44
Construction & Farm Machinery & Heavy Trucks,5.5,11,1.5470588235294118,34
Construction & Farm Machinery & Heavy Trucks,6.0,12,2.11875,16
Construction & Farm Machinery & Heavy Trucks,6.5,13,3.2133333333333325,15
Construction Materials,1.0,2,,2
Construction Materials,1.5,3,-0.9714285714285714,7
Construction Materials,2.0,4,,1
Construction Materials,2.5,5,-0.49999999999999994,7
Construction Materials,3.0,6,-0.09999999999999998,8
Construction Materials,3.5,7,0.41000000000000003,10
Construction Materials,4.0,8,0.7124999999999999,16
Construction Materials,4.5,9,1.1444444444444446,9
Construction Materials,5.0,10,,3
Construction Materials,5.5,11,1.795238095238095,21
Construction Materials,6.0,12,2.1500000000000004,6
Construction Materials,6.5,13,,1
Construction Materials,7.0,14,,3
Construction Materials,7.5,15,,1
Construction Materials,8.0,16,1.8000000000000007,7
Consumer Finance,2.5,5,,1
Consumer Finance,3.0,6,-2.0749999999999997,8
Consumer Finance,3.5,7,-1.553846153846154,13
Consumer Finance,4.0,8,-1.0526315789473688,19
Consumer Finance,4.5,9,-0.04285714285714289,14
Consumer Finance,5.0,10,1.284848484848485,33
Consumer Finance,5.5,11,1.7500000000000002,18
Consumer Finance,6.0,12,2.5625,8
Consumer Finance,6.5,13,,1
Consumer Finance,7.0,14,,2
Containers & Packaging,1.5,3,,1
Containers & Packaging,4.5,9,-1.7307692307692304,13
Containers & Packaging,5.0,10,0.3583333333333334,12
Containers & Packaging,5.5,11,1.2193548387096773,31
Containers & Packaging,6.0,12,1.9933333333333334,15
Containers & Packaging,6.5,13,,2
Diversified Consumer Services,3.0,6,,1
Diversified Consumer Services,3.5,7,,2
Diversified Consumer Services,4.0,8,-0.5750000000000002,8
Diversified Consumer Services,4.5,9,0.2692307692307692,13
Diversified Consumer Services,5.0,10,1.1599999999999997,10
Diversified Consumer Services,5.5,11,2.285714285714285,14
Diversified Consumer Services,6.0,12,2.6,5
Diversified Consumer Services,6.5,13,,4
Diversified Consumer Services,7.0,14,,3
Diversified Financials,1.5,3,,1
Diversified Financials,2.0,4,-2.1500000000000004,8
Diversified Financials,2.5,5,,4
Diversified Financials,3.0,6,-1.3285714285714287,7
Diversified Financials,3.5,7,-1.075,20
Diversified Financials,4.0,8,-0.5573770491803278,61
Diversified Financials,4.5,9,-0.08333333333333336,66
Diversified Financials,5.0,10,0.832727272727273,55
Diversified Financials,5.5,11,1.322,50
Diversified Financials,6.0,12,1.7729166666666665,48
Diversified Financials,6.5,13,2.242857142857143,28
Diversified Financials,7.0,14,,3
Diversified Financials,8.0,16,,1
Electrical Equipment,1.5,3,,1
Electrical Equipment,2.0,4,,2
Electrical Equipment,2.5,5,,1
Electrical Equipment,3.0,6,-2.82,5
Electrical Equipment,3.5,7,-3.2399999999999998,5
Electrical Equipment,4.0,8,-2.521739130434782,23
Electrical Equipment,4.5,9,-1.5466666666666664,15
Electrical Equipment,5.0,10,-0.33409090909090916,44
Electrical Equipment,5.5,11,0.6272727272727271,33
Electrical Equipment,6.0,12,1.2827586206896553,29
Electrical Equipment,6.5,13,2.1900000000000004,10
Electrical Equipment,7.0,14,2.7399999999999998,5
Electrical Equipment,7.5,15,,1
"Electronic Equipment, Instruments & Components",2.0,4,,2
"Electronic Equipment, Instruments & Components",2.5,5,,3
"Electronic Equipment, Instruments & Components",3.0,6,-1.911111111111111,9
"Electronic Equipment, Instruments & Components",3.5,7,-1.1041666666666667,24
"Electronic Equipment, Instruments & Components",4.0,8,-0.5714285714285714,35
"Electronic Equipment, Instruments & Components",4.5,9,0.13962264150943404,53
"Electronic Equipment, Instruments & Components",5.0,10,0.9793103448275862,58
"Electronic Equipment, Instruments & Components",5.5,11,1.7550000000000001,40
"Electronic Equipment, Instruments & Components",6.0,12,2.309090909090909,11
"Electronic Equipment, Instruments & Components",6.5,13,,3
"Electronic Equipment, Instruments & Components",7.0,14,,1
Energy Equipment & Services,2.5,5,,1
Energy Equipment & Services,3.5,7,,2
